sample_id,precursor,combo,sec_hmaxima_rel,bin_method,sec_min_diam_um,n_sec,D_sec,circularity,convexity,aspect_ratio,solid_frac,area_weighted_solidity
C25-L,L,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,1504,5.651032108515939,0.5491161290240874,0.832876533542156,1.584266586565465,0.5065939198369566,0.7996408897634794
C25-M,M,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,2550,4.257421727027955,0.6426614116032527,0.8571428571428572,1.5386142798839735,0.4991083559782609,0.8137094433882373
C25-S,S,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,3909,3.660033074925209,0.7511364940130444,0.8868778280542985,1.448295742034073,0.4864295554045894,0.839756528014464
C26-L,L,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,2046,4.9503674306088525,0.5447870521967794,0.8165745395961224,1.624146021074147,0.48123160099637685,0.7813281627382098
C26-M,M,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,1943,5.00774643210875,0.5295420522752082,0.8015873015873016,1.6476836983914824,0.4747216560990338,0.7661812816469017
C26-S,S,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,3115,4.062846892798531,0.6371429471392236,0.8451443569553806,1.5752152609458605,0.4785613866243961,0.7992506554870996
C27-L,L,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,1871,5.120575904019775,0.5810113514235186,0.8452914798206277,1.566212639766132,0.5088876622886472,0.8067700010740922
C27-M,M,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,2296,4.414819682883245,0.6202736507709429,0.8471613898969674,1.5341640884981984,0.4965207012379227,0.7985773673954605
C27-S,S,h0.12_local_adaptive_d1.0,0.12,local_adaptive,1.0,4334,3.5004383795485454,0.7606047387832251,0.8897348309402502,1.4397034557013495,0.4815892021437198,0.845283732831322
C01-L,L,h0.15_otsu_d1.0,0.15,otsu,1.0,832,7.164462397730752,0.548772650803603,0.8520959578353593,1.4819143526113518,0.5022418478260869,0.8171710986286526
C01-M,M,h0.15_otsu_d1.0,0.15,otsu,1.0,993,5.849761568862286,0.5316671871563785,0.8275109170305676,1.5001027866370624,0.485321369263285,0.7703999854847207
C01-S,S,h0.15_otsu_d1.0,0.15,otsu,1.0,2848,3.947928743374773,0.7008528806512752,0.8724339490296937,1.4273466646442552,0.49313858695652174,0.8131642483316898
C02-L,L,h0.15_otsu_d1.0,0.15,otsu,1.0,0,,,,,,
C02-M,M,h0.15_otsu_d1.0,0.15,otsu,1.0,0,,,,,,
C02-S,S,h0.15_otsu_d1.0,0.15,otsu,1.0,0,,,,,,
C03-L,L,h0.15_otsu_d1.0,0.15,otsu,1.0,843,7.041566730943534,0.6205842650123959,0.8767908309455588,1.4486926163661031,0.5106421724033816,0.8612024048895831
C03-M,M,h0.15_otsu_d1.0,0.15,otsu,1.0,913,6.010352112266097,0.5591289255842743,0.8431221020092735,1.4695772528248388,0.4895842768719807,0.8046121075617315
C03-S,S,h0.15_otsu_d1.0,0.15,otsu,1.0,2656,4.185991319643072,0.6668149065309779,0.8575561350252439,1.4477996179446477,0.5150989772041062,0.7961439693052599
C04-L,L,h0.15_otsu_d1.0,0.15,otsu,1.0,723,7.650842169361665,0.5817056616993463,0.8664495114006514,1.4298569088208466,0.50851921044686,0.8452527063471426
C04-M,M,h0.15_otsu_d1.0,0.15,otsu,1.0,959,5.9626291083008445,0.5168892178421207,0.8196969696969697,1.5166941608437212,0.5012799101751207,0.7684316177116893
C04-S,S,h0.15_otsu_d1.0,0.15,otsu,1.0,2451,4.238742166217072,0.6526737305434656,0.8548387096774193,1.4627173679436416,0.5045261548913044,0.792695788440777
C05-L,L,h0.15_otsu_d1.0,0.15,otsu,1.0,0,,,,,,
C05-M,M,h0.15_otsu_d1.0,0.15,otsu,1.0,0,,,,,,
C05-S,S,h0.15_otsu_d1.0,0.15,otsu,1.0,0,,,,,,
C06-L,L,h0.15_otsu_d1.0,0.15,otsu,1.0,0,,,,,,
C06-M,M,h0.15_otsu_d1.0,0.15,otsu,1.0,0,,,,,,
C06-S,S,h0.15_otsu_d1.0,0.15,otsu,1.0,0,,,,,,
C07-L,L,h0.15_otsu_d1.0,0.15,otsu,1.0,804,7.380526646967537,0.49279098814766364,0.8279035328961286,1.5156020625111177,0.5108205012077295,0.8015109274058074
C07-M,M,h0.15_otsu_d1.0,0.15,otsu,1.0,809,6.844976528939401,0.45853950370807767,0.7923076923076924,1.5304620767397104,0.5017030872584541,0.7401326366292479
C07-S,S,h0.15_otsu_d1.0,0.15,otsu,1.0,2767,4.093980274472972,0.6853348454215726,0.8635346756152125,1.4291858331229619,0.5040775022644928,0.8043838033119176
C08-L,L,h0.15_otsu_d1.0,0.15,otsu,1.0,0,,,,,,
