sample_id,n_sec,D_sec,n_images,combo_id,percentile,slope
C16-M,319,11.191990298189324,3,percentile_95,95.0,0.082
C16-S,1892,4.680080571972979,3,percentile_95,95.0,0.082
C17-L,408,10.678169173762685,3,percentile_95,95.0,0.082
C17-M,281,12.585748741737016,3,percentile_95,95.0,0.082
C17-S,1864,4.892315511878591,3,percentile_95,95.0,0.082
C18-L,363,11.273942590428806,3,percentile_95,95.0,0.082
C18-M,299,11.914605907002338,3,percentile_95,95.0,0.082
C18-S,1626,5.230972266162188,3,percentile_95,95.0,0.082
C19-L,314,11.886565100863113,3,percentile_95,95.0,0.082
C19-M,255,12.509854087448483,3,percentile_95,95.0,0.082
C19-S,1430,5.634154921671018,3,percentile_95,95.0,0.082
C20-L,348,11.370666129902684,3,percentile_95,95.0,0.082
C20-M,263,12.613462364756375,3,percentile_95,95.0,0.082
C20-S,1375,5.628517946851282,3,percentile_95,95.0,0.082
C21-L,282,11.959770287229107,3,percentile_95,95.0,0.082
C21-M,360,10.33064796056756,3,percentile_95,95.0,0.082
C21-S,1315,5.871427426613504,3,percentile_95,95.0,0.082
C22-L,253,12.771027336866073,3,percentile_95,95.0,0.082
C22-M,178,14.284554927250099,3,percentile_95,95.0,0.082
C22-S,1279,5.909151533809971,3,percentile_95,95.0,0.082
C23-L,256,12.73232937123388,3,percentile_95,95.0,0.082
C23-M,342,10.93374156777341,3,percentile_95,95.0,0.082
C23-S,821,7.193207472377346,3,percentile_95,95.0,0.082
C24-L,373,11.072225426422966,3,percentile_95,95.0,0.082
C24-M,319,11.642405515164564,3,percentile_95,95.0,0.082
C24-S,1941,4.754105131057737,3,percentile_95,95.0,0.082
C25-L,364,11.271113901373727,3,percentile_95,95.0,0.082
C25-M,338,10.913396966152323,3,percentile_95,95.0,0.082
C25-S,1566,5.439221448613327,3,percentile_95,95.0,0.082
C26-L,338,11.798140344341977,3,percentile_95,95.0,0.082
C26-M,281,12.633579542395248,3,percentile_95,95.0,0.082
C26-S,1309,5.756772060397294,3,percentile_95,95.0,0.082
C27-L,355,11.441635623198781,3,percentile_95,95.0,0.082
C27-M,296,12.007490584485637,3,percentile_95,95.0,0.082
C27-S,1523,5.1944341779621475,3,percentile_95,95.0,0.082
C01-L,651,8.168553172642095,3,slope_0.033,90.0,0.033
C01-M,712,7.082017247413715,3,slope_0.033,90.0,0.033
C01-S,2816,3.9679813550430554,3,slope_0.033,90.0,0.033
C02-L,646,8.242049993561224,3,slope_0.033,90.0,0.033
C02-M,623,7.987793210868281,3,slope_0.033,90.0,0.033
C02-S,2467,4.335005351251914,3,slope_0.033,90.0,0.033
C03-L,636,8.168549475124887,3,slope_0.033,90.0,0.033
C03-M,572,8.092419460329399,3,slope_0.033,90.0,0.033
C03-S,2629,4.208679785659095,3,slope_0.033,90.0,0.033
C04-L,557,8.95812914902176,3,slope_0.033,90.0,0.033
C04-M,657,7.56321032563979,3,slope_0.033,90.0,0.033
C04-S,2407,4.268592831966727,3,slope_0.033,90.0,0.033
C05-L,695,8.078678769262789,3,slope_0.033,90.0,0.033
C05-M,623,8.199582926050782,3,slope_0.033,90.0,0.033
C05-S,3003,3.9519490415798333,3,slope_0.033,90.0,0.033
C06-L,634,8.602009370769364,3,slope_0.033,90.0,0.033
C06-M,625,7.995737313488917,3,slope_0.033,90.0,0.033
C06-S,1859,4.93752598892475,3,slope_0.033,90.0,0.033
C07-L,639,8.492449011923329,3,slope_0.033,90.0,0.033
C07-M,592,8.158831940998398,3,slope_0.033,90.0,0.033
C07-S,2748,4.105592606136062,3,slope_0.033,90.0,0.033
C08-L,632,8.318730051241575,3,slope_0.033,90.0,0.033
C08-M,759,7.263472461190293,3,slope_0.033,90.0,0.033
C08-S,2735,4.0156942680121945,3,slope_0.033,90.0,0.033
C09-L,630,8.451232382506527,3,slope_0.033,90.0,0.033
C09-M,580,8.039280832395594,3,slope_0.033,90.0,0.033
C09-S,2402,4.101726696299568,3,slope_0.033,90.0,0.033
C10-L,660,8.605689359026513,3,slope_0.033,90.0,0.033
C10-M,533,8.968753539965386,3,slope_0.033,90.0,0.033
C10-S,2699,4.062846892798531,3,slope_0.033,90.0,0.033
C11-L,589,8.764688133012106,3,slope_0.033,90.0,0.033
C11-M,658,7.470303043108974,3,slope_0.033,90.0,0.033
C11-S,2688,4.166988158324634,3,slope_0.033,90.0,0.033
C12-L,609,8.238205763077984,3,slope_0.033,90.0,0.033
C12-M,713,7.529558499869836,3,slope_0.033,90.0,0.033
C12-S,2137,4.727321227047977,3,slope_0.033,90.0,0.033
C13-L,520,9.43783776438111,3,slope_0.033,90.0,0.033
C13-M,498,9.488155415880382,3,slope_0.033,90.0,0.033
C13-S,2598,4.227492158576884,3,slope_0.033,90.0,0.033
C14-L,672,8.28239914886645,3,slope_0.033,90.0,0.033
C14-M,626,8.12374002405451,3,slope_0.033,90.0,0.033
C14-S,2836,4.007781562259003,3,slope_0.033,90.0,0.033
